"","","","song_title"
"18","SCETTYB103","Happy","Om Shanti Om,Mera Joota Hai Japani,Ilahi,Teri Baahon Maein Hum,Om Shanti Om,Jo Bhi Main,Om Shanti Om,Deewangi Deewangi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Dhoom Taana,Deewangi Deewangi,Dhoom Taana,Aisi Deewangi Dekhi,Om Shanti Om,Dhoom Taana,Deewangi Deewangi,Aisi Deewangi Dekhi,Hawa Hawaa,Jo Bhi Main,Jaana Hai,Dhoom Taana,More Piya,Teri Baahon Maein Hum,Aisi Deewangi Dekhi,Om Shanti Om,Deewangi Deewangi,Aaj na chhodenge ,Dhoom Taana,Teri Baahon Maein Hum,Dhoom Taana,Mera Joota Hai Japani,Om Shanti Om,Aaj Madhosh Hua Jaye re,Mera Joota Hai Japani,Dhoom Taana,Aaj na chhodenge ,Dhoom Taana,Om Shanti Om,Mera Joota Hai Japani,Ilahi,Teri Baahon Maein Hum,Om Shanti Om,Jo Bhi Main,Om Shanti Om,Deewangi Deewangi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Dhoom Taana,Deewangi Deewangi,Dhoom Taana,Aisi Deewangi Dekhi,Om Shanti Om,Dhoom Taana,Deewangi Deewangi,Om Shanti Om,Dhoom Taana,Deewangi Deewangi,Jaana Hai,Jaana Hai,Om Shanti Om,Deewangi Deewangi,Aaj Madhosh Hua Jaye re,Om Shanti Om,Om Shanti Om,Teri Baahon Maein Hum,Dhoom Taana,Om Shanti Om"
"19","SCETTYB103","Sad","Khoya khoya chand ,Maahi,Khoya khoya chand ,Koi Pathar Se na Maare,Gulabi Ankhe,Tum Bin Jaoon Kahan,Khoya khoya chand ,Raabta,Gulabi Ankhe,Khoya khoya chand ,Koi Pathar Se na Maare,Tum Bin Jaoon Kahan,Koi Pathar Se na Maare,Raabta,Raabta,Tum Bin Jaoon Kahan,Raabta,Raabta,Abhi Na Jao Chhod Kar,Baharo Phool Barsao,Khoya khoya chand ,Koi Pathar Se na Maare,Maahi,Koi Pathar Se na Maare,Khoya khoya chand ,Raabta,Maahi,Khoya khoya chand ,Tum Bin Jaoon Kahan,Gulabi Ankhe,Khoya khoya chand ,Maahi,Khoya khoya chand ,Koi Pathar Se na Maare,Gulabi Ankhe,Tum Bin Jaoon Kahan,Khoya khoya chand ,Raabta,Gulabi Ankhe,Khoya khoya chand ,Koi Pathar Se na Maare,Tum Bin Jaoon Kahan,Koi Pathar Se na Maare,Raabta,Baharo Phool Barsao,Gulabi Ankhe,Maahi,Raabta,Raabta,Raabta,Khoya khoya chand ,Khoya khoya chand ,Gulabi Ankhe,Koi Pathar Se na Maare,Khoya khoya chand "
"20","SCETTYB103","silent","Aaiye Shauk se Kahiye,Saans Me Teri ,Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye,Saans Me Teri ,Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye,Saans Me Teri ,Saans Me Teri ,Aaiye Shauk se Kahiye"
"21","SCETTYB103","Silent","Jo Bhi Main,Aaj ka ye din,Aai Khuda Har faisala tera Muze Manjur hai,Tum Ho,Naadaan Parindey,Tum Ho,Aaj ka ye din,Kuchh Iss Tarah,Diye Jalate Hai,Jo Bhi Main,Aai Khuda Har faisala tera Muze Manjur hai,Aaj ka ye din,Diye Jalate Hai,Aadmi jo kaheta Hai,Jo Bhi Main,Aaj ka ye din,Aai Khuda Har faisala tera Muze Manjur hai,Naadaan Parindey,Tum Ho,Naadaan Parindey,Haafiz Khuda"
"22","SCETTYB104","","Naadaan Parindey"
"23","SCETTYB104","Exciting","Dola Re Dola,Wada Raha,Sadda Haq,Jee Karda,Sadda Haq,Ashlam-e-Ishqum,AA Dekhe jara ,AA Dekhe jara ,Dola Re Dola,Dil Dooba,Wada Raha,Jee Karda,Sandese Aate Hai ,AA Dekhe jara ,Sandese Aate Hai ,Dil Dooba,Sadda Haq,Sandese Aate Hai ,Ashlam-e-Ishqum,Jee Karda,Ashlam-e-Ishqum,Jee Karda,Sandese Aate Hai ,Sandese Aate Hai ,AA Dekhe jara ,Sandese Aate Hai ,Jee Karda,Ashlam-e-Ishqum,Sandese Aate Hai ,Ashlam-e-Ishqum,Sadda Haq,Jee Karda,Ashlam-e-Ishqum,Dola Re Dola,Jee Karda,Sandese Aate Hai ,Sandese Aate Hai ,Dola Re Dola,Wada Raha,Sadda Haq,Jee Karda,Sadda Haq,Ashlam-e-Ishqum,AA Dekhe jara ,AA Dekhe jara ,Dola Re Dola,Dil Dooba,Wada Raha,Jee Karda,Sandese Aate Hai ,AA Dekhe jara ,Sandese Aate Hai ,Dil Dooba,Sadda Haq,Ashlam-e-Ishqum,Sandese Aate Hai ,Dil Dooba,Sandese Aate Hai ,Sandese Aate Hai ,AA Dekhe jara ,Sandese Aate Hai "
"24","SCETTYB104","happy","Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria"
"25","SCETTYB104","Happy","Dhoom Taana,Ilahi,Jaana Hai,More Piya,Aaj Madhosh Hua Jaye re,Aaj na chhodenge ,Om Shanti Om,Dhoom Taana,Deewangi Deewangi,Aaj Madhosh Hua Jaye re,Dhoom Taana,Dhoom Taana,Ilahi,More Piya,Deewangi Deewangi,Deewangi Deewangi,Ilahi,Jaana Hai,Om Shanti Om,Jaana Hai,Dhoom Taana,Deewangi Deewangi,Ilahi,Deewangi Deewangi,Dhoom Taana,Aaj Madhosh Hua Jaye re,Aisi Deewangi Dekhi,Deewangi Deewangi,Mera Joota Hai Japani,Ilahi,More Piya,Dhoom Taana,Dhoom Taana,Deewangi Deewangi,Hawa Hawaa,Aisi Deewangi Dekhi,Om Shanti Om,Deewangi Deewangi,Jaana Hai,Dhoom Taana,Deewangi Deewangi,Om Shanti Om,Ilahi,Dhoom Taana,Aisi Deewangi Dekhi,Aaj Madhosh Hua Jaye re,Aaj Madhosh Hua Jaye re,Aaj na chhodenge ,Dhoom Taana,Dhoom Taana,Ilahi,Jaana Hai,More Piya,Aaj Madhosh Hua Jaye re,Aaj na chhodenge ,Om Shanti Om,Dhoom Taana,Deewangi Deewangi,Aaj Madhosh Hua Jaye re,Dhoom Taana,Dhoom Taana,Ilahi,More Piya,Mera Joota Hai Japani,Jo Bhi Main,Dhoom Taana,Teri Baahon Maein Hum,Aaj Madhosh Hua Jaye re,Deewangi Deewangi,Mera Joota Hai Japani,Ilahi,Dhoom Taana,Om Shanti Om,Aisi Deewangi Dekhi,Om Shanti Om,Dhoom Taana,Aaj Madhosh Hua Jaye re,Aaj na chhodenge ,Aaj na chhodenge ,Dhoom Taana,Dhoom Taana,Ilahi,More Piya,Dhoom Taana,Hawa Hawaa"
"26","SCETTYB104","Sad","Koi Pathar Se na Maare,Raabta,Raabta,Gulabi Ankhe,Baharo Phool Barsao,Khoya khoya chand ,Raabta,Raabta,Maahi,Maahi,Maahi,Maahi,Maahi,Koi Pathar Se na Maare,Khoya khoya chand ,Abhi Na Jao Chhod Kar,Raabta,Abhi Na Jao Chhod Kar,Gulabi Ankhe,Baharo Phool Barsao,Khoya khoya chand ,Abhi Na Jao Chhod Kar,Khoya khoya chand ,Khoya khoya chand ,Maahi,Gulabi Ankhe,Raabta,Maahi,Khoya khoya chand ,Raabta,Koi Pathar Se na Maare,Tum Bin Jaoon Kahan,Khoya khoya chand ,Khoya khoya chand ,Raabta,Maahi,Baharo Phool Barsao,Abhi Na Jao Chhod Kar,Gulabi Ankhe,Khoya khoya chand ,Koi Pathar Se na Maare,Khoya khoya chand ,Tum Bin Jaoon Kahan,Khoya khoya chand ,Koi Pathar Se na Maare,Baharo Phool Barsao,Khoya khoya chand ,Koi Pathar Se na Maare,Raabta,Abhi Na Jao Chhod Kar,Koi Pathar Se na Maare,Raabta,Raabta,Gulabi Ankhe,Baharo Phool Barsao,Khoya khoya chand ,Raabta,Raabta,Maahi,Maahi,Maahi,Maahi,Maahi,Koi Pathar Se na Maare,Khoya khoya chand ,Abhi Na Jao Chhod Kar,Raabta,Abhi Na Jao Chhod Kar,Koi Pathar Se na Maare,Khoya khoya chand ,Koi Pathar Se na Maare,Khoya khoya chand ,Raabta,Maahi,Khoya khoya chand ,Maahi,Abhi Na Jao Chhod Kar,Raabta,Khoya khoya chand ,Koi Pathar Se na Maare,Gulabi Ankhe,Raabta,Baharo Phool Barsao"
"27","SCETTYB104","silent","Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye,Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye,Saans Me Teri ,Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye,Saans Me Teri ,Saans Me Teri "
"28","SCETTYB104","Silent","Silsila Ye Chahat Ka,Jo Bhi Main,Aai Khuda Har faisala tera Muze Manjur hai,Haafiz Khuda,Haafiz Khuda,Aai Khuda Har faisala tera Muze Manjur hai,Diye Jalate Hai,Haafiz Khuda,Diye Jalate Hai,Haafiz Khuda,Diye Jalate Hai,Aaj ka ye din,Aaj ka ye din,Diye Jalate Hai,Jo Bhi Main,Haafiz Khuda,Diye Jalate Hai,Aadmi jo kaheta Hai,Aai Khuda Har faisala tera Muze Manjur hai,Aaj ka ye din,Aadmi jo kaheta Hai,Aai Khuda Har faisala tera Muze Manjur hai,Aadmi jo kaheta Hai,Aaj ka ye din,Tum Ho,Aai Khuda Har faisala tera Muze Manjur hai,Aaj ka ye din,Haafiz Khuda,Aaj ka ye din,Haafiz Khuda,Aadmi jo kaheta Hai,Silsila Ye Chahat Ka,Jo Bhi Main,Aai Khuda Har faisala tera Muze Manjur hai,Haafiz Khuda,Haafiz Khuda,Aai Khuda Har faisala tera Muze Manjur hai,Diye Jalate Hai,Haafiz Khuda,Diye Jalate Hai,Haafiz Khuda,Diye Jalate Hai,Aaj ka ye din,Aaj ka ye din,Diye Jalate Hai,Jo Bhi Main,Kuchh Iss Tarah,Haafiz Khuda,Aadmi jo kaheta Hai,Diye Jalate Hai,Haafiz Khuda,Aai Khuda Har faisala tera Muze Manjur hai,Aaj ka ye din,Aadmi jo kaheta Hai,Aaj ka ye din,Silsila Ye Chahat Ka,Diye Jalate Hai,Tum Ho,Jo Bhi Main,Tum Ho"
